"ClientAccountID","CurrencyPrimary","Symbol","TradeDate","TransactionType","Quantity","TradePrice","Proceeds","CostBasis","FifoPnlRealized"
"U3271652","USD","GILD","20200924","ExchTrade","-30","62.57","1877.1","-2438.426087","-561.697398"
"U3271652","USD","GILD","20200930","ExchTrade","-1","62.315","62.315","-81.28087","-19.31607"
"U3271652","USD","GILD","20200930","ExchTrade","-10","62.69","626.9","-812.808696","-186.260696"
"U3271652","USD","GILD","20200930","ExchTrade","-10","62.705","627.05","-812.808696","-186.156001"
"U3271652","USD","GILD","20200930","ExchTrade","-4","62.7","250.8","-325.123478","-74.692554"
"U3271652","USD","GILD","20200930","ExchTrade","-10","62.955","629.55","-812.808696","-183.610696"
"U3271652","USD","GILD","20200930","ExchTrade","-27","62.885","1697.895","-2194.583478","-497.057872"
"U3271652","USD","GILD","20201021","ExchTrade","1","60.25","-60.25","60.310494284","18.723247"
"U3271652","USD","IWM","20200928","ExchTrade","9","150.28","-1352.52","1289.694203","-63.177855"
"U3271652","USD","IWM","20200930","ExchTrade","10","151.125","-1511.25","1432.993558","-78.638699"
"U3271652","USD","IWM","20200930","ExchTrade","10","150.945","-1509.45","1432.993558","-76.808442"
"U3271652","USD","IWM","20201001","ExchTrade","3","152.11","-456.33","429.898068","-26.79179"
"U3271652","USD","IWM","20201001","ExchTrade","1","152.07","-152.07","143.299356","-9.124101"
"U3271652","USD","IWM","20201005","ExchTrade","10","157.14","-1571.4","1432.993559","-138.785699"
"U3271652","USD","IWM","20201007","ExchTrade","1","158.6","-158.6","143.299356","-15.652001"
"U3271652","USD","IWM","20201007","ExchTrade","14","160.21","-2242.94","2006.190982","-237.139875"
"U3271652","USD","IWM","20201013","ExchTrade","12","162.97","-1955.64","1719.59227","-236.400387"
"U3271652","USD","IWM","20201124","ExchTrade","16","184.17","-2946.72","2292.789693","-654.326964"
"U3271652","USD","SGOL","20200831","ExchTrade","50","18.935","-946.75","947.15525725","0"
"U3271652","USD","SGOL","20200904","ExchTrade","40","18.495","-739.8","740.15825725","0"
"U3271652","USD","SGOL","20200924","ExchTrade","30","17.91","-537.3","537.70125725","0"
"U3271652","USD","SGOL","20200924","ExchTrade","10","17.915","-179.15","179.51125725","0"
"U3271652","USD","SGOL","20200929","ExchTrade","100","18.15","-1815","1815.42025725","0"
"U3271652","USD","SGOL","20200929","ExchTrade","30","18.245","-547.35","547.73325725","0"
"U3271652","USD","SGOL","20201002","ExchTrade","20","18.3","-366","366.41425725","0"
"U3271652","USD","SGOL","20201020","ExchTrade","15","18.355","-275.325","275.69175725","0"
"U3271652","USD","SGOL","20201030","ExchTrade","25","18.075","-451.875","452.18025725","0"
"U3271652","USD","SGOL","20201208","ExchTrade","100","17.985","-1798.5","1798.87025725","0"
"U3271652","USD","SGOL","20201211","ExchTrade","40","17.675","-707","707.35825725","0"
"U3271652","USD","SGOL","20210107","ExchTrade","100","18.415","-1841.5","1842.17025725","0"
"U3271652","USD","SGOL","20210203","ExchTrade","1","17.64","-17.64","17.817729654","0"
"U3271652","USD","SGOL","20210203","ExchTrade","59","17.64","-1040.76","1041.004527596","0"
"U3271652","USD","SGOL","20210211","ExchTrade","60","17.705","-1062.3","1062.84225725","0"
"U3271652","USD","SGOL","20210222","ExchTrade","100","17.405","-1740.5","1740.87025725","0"
"U3271652","USD","SH","20200924","ExchTrade","20","21.02","-420.4","420.77225725","0"
"U3271652","USD","SH","20200929","ExchTrade","40","20.445","-817.8","818.19425725","0"
"U3271652","USD","SH","20200929","ExchTrade","50","20.445","-1022.25","1022.65525725","0"
"U3271652","USD","SH","20201015","ExchTrade","27","19.645","-530.415","530.79765725","0"
"U3271652","USD","SH","20201030","ExchTrade","15","20.88","-313.2","313.56825725","0"
"U3271652","USD","SIVR","20200831","ExchTrade","25","27.27","-681.75","682.07025725","0"
"U3271652","USD","SIVR","20200904","ExchTrade","20","25.62","-512.4","512.71225725","0"
"U3271652","USD","SIVR","20200916","ExchTrade","15","26.41","-396.15","396.48225725","0"
"U3271652","USD","SIVR","20200921","ExchTrade","25","24.87","-621.75","622.13025725","0"
"U3271652","USD","SIVR","20200921","ExchTrade","100","24.87","-2487","2487.207564313","0"
"U3271652","USD","SIVR","20200921","ExchTrade","-40","24.69","987.6","-1066.60445","-0"
"U3271652","USD","SIVR","20200924","ExchTrade","43","21.725","-934.175","934.57685725","0"
"U3271652","USD","SIVR","20200929","ExchTrade","30","23.095","-692.85","693.23625725","0"
"U3271652","USD","SIVR","20200929","ExchTrade","100","23.205","-2320.5","2320.97025725","0"
"U3271652","USD","SIVR","20200930","ExchTrade","25","22.77","-569.25","569.605","0"
"U3271652","USD","SIVR","20201021","ExchTrade","25","24.155","-603.875","604.25525725","0"
"U3271652","USD","SIVR","20201026","ExchTrade","25","23.61","-590.25","590.63025725","0"
"U3271652","USD","SIVR","20201207","ExchTrade","6","23.81","-142.86","143.19945725","0"
"U3271652","USD","SIVR","20201207","ExchTrade","14","23.81","-333.34","333.3848","0"
"U3271652","USD","SIVR","20201208","ExchTrade","70","23.775","-1664.25","1664.80325725","0"
"U3271652","USD","SIVR","20201208","ExchTrade","100","23.775","-2377.5","2378.17025725","0"
"U3271652","USD","SIVR","20201209","ExchTrade","50","23.025","-1151.25","1151.76025725","0"
"U3271652","USD","SIVR","20201217","ExchTrade","100","25.14","-2514","2514.67025725","0"
"U3271652","USD","SIVR","20210106","ExchTrade","65","26.35","-1712.75","1712.97675725","0"
"U3271652","USD","SIVR","20210203","ExchTrade","2","26","-52","52.34665725","0"
"U3271652","USD","SIVR","20210203","ExchTrade","13","25.985","-337.805","337.7816","0"
"U3271652","USD","SIVR","20210211","ExchTrade","25","26.105","-652.625","653.05525725","0"
"U3271652","USD","SIVR","20210222","ExchTrade","40","26.94","-1077.6","1078.06625725","0"
"U3271652","USD","SQQQ","20200903","ExchTrade","7","21.91","-153.37","153.70695725","0"
"U3271652","USD","SQQQ","20200909","ExchTrade","100","24.735","-2473.5","2473.96025725","0"
"U3271652","USD","SQQQ","20200918","ExchTrade","10","26.3","-263","263.33125725","0"
"U3271652","USD","SQQQ","20200924","ExchTrade","18","27.385","-492.93","493.33245725","0"
"U3271652","USD","SQQQ","20200924","ExchTrade","15","27.225","-408.375","408.69675725","0"
"U3271652","USD","SQQQ","20200929","ExchTrade","40","24.365","-974.6","974.99425725","0"
"U3271652","USD","SQQQ","20200929","ExchTrade","50","24.21","-1210.5","1210.75525725","0"
"U3271652","USD","SQQQ","20200930","ExchTrade","50","23.605","-1180.25","1180.61","0"
"U3271652","USD","SQQQ","20200930","ExchTrade","17","23.615","-401.455","401.8084","0"
"U3271652","USD","SQQQ","20201001","ExchTrade","13","22.905","-297.765","298.12955725","0"
"U3271652","USD","SQQQ","20201020","ExchTrade","16","21.475","-343.6","343.96785725","0"
"U3271652","USD","SQQQ","20201021","ExchTrade","10","21.395","-213.95","214.31125725","0"
"U3271652","USD","SQQQ","20201021","ExchTrade","30","21.395","-641.85","641.883","0"
"U3271652","USD","SQQQ","20201027","ExchTrade","15","22.035","-330.525","330.89175725","0"
"U3271652","USD","SQQQ","20201029","ExchTrade","-24","22.75","546","-1210.752309","0"
"U3271652","USD","SQQQ","20201030","ExchTrade","10","25.285","-252.85","253.21125725","0"
"U3271652","USD","SQQQ","20201030","ExchTrade","15","25.135","-377.025","377.39175725","0"
"U3271652","USD","SQQQ","20201102","ExchTrade","8","25.665","-205.32","205.67185725","0"
"U3271652","USD","SQQQ","20201103","ExchTrade","-26","23.38","607.88","-1311.648334","0"
